pc_pxcode;pc_order_child;pc_pxname;pc_pxcode_loinc;pc_pxcode_loinc_display;pc_pxcode_speciment_code;pc_pxcode_speciment_name;pc_unit;pc_normal;pc_min_normal;pc_max_normal;pc_min_l;pc_max_l;pc_min_p;pc_max_p;pc_normal_l;pc_normal_p;pc_barcode;pc_remarks;pc_method
A0132;;;;;;;;;;;;;;;;;;; 
A0133;;Pa Cairan Pleura;;;;;;;;;;;;;;;;; 
A0134;;kultur dahak;;;;;;;;;;;;;;;;; 
A0135;;PA Jaringan Kecil 4;;;;;;;;;;;;;;;;; 
A0136;;Sitologi Cairan;;;;;;;;;;;;;;;;; 
A0137;;IVA test;;;;;;;;;;;;;;;;; 
A0138;;Buta Warna;;;;;;Normal;;;;;;;;;;; 
A0140;;Pulasan BTA;;;;;;;;;;;;;;;;; 
A0142;;Sampling Swab;;;;;;;;;;;;;;;;; 
A0143;;APD;;;;;;;;;;;;;;;;; 
A0144;;;;;;;;;;;;;;;;;;; 
A0145;;tensi;;;;;;;;;;;;;;;;; 
A0146;;;;;;;;;;;;;;;;;;; 
A0147;;Biaya Penanganan;;;;;;;;;;;;;;;;; 
A0148;;;;;;;;;;;;;;;;;;; 
A0149;;Biaya VTM;;;;;;;;;;;;;;;;; 
A0150;;;;;;;;;;;;;;;;;;; 
A0151;;APD + Homeservice;;;;;;;;;;;;;;;;; 
A0152;;;;;;;;;;;;;;;;;;; 
A0153;;;;;;;;;;;;;;;;;;; 
A0154;;Sampling;;;;;;;;;;;;;;;;; 
A0155;;;;;;;;;;;;;;;;;;; 
A0156;;APD + Home Service;;;;;;;;;;;;;;;;; 
A0157;;;;;;;;;;;;;;;;;;; 
A0158;;USG;;;;;;;;;;;;;;;;; 
A0159;;USG Abdomen;;;;;;;;;;;;;;;;; 
A0160;;Audiometri;;;;;;;;;;;;;;;;; 
A0161;;Spirometri;;;;;;;;;;;;;;;;; 
A0162;;Biaya Antar;;;;;;;;;;;;;;;;; 
A0163;;Harvard Step Test;;;;;;;;;;;;;;;A;; 
B0101;;Chlamydia Pnemonia PCR;;;;;;;;;;;;;;;;Janji :2 hari; 
B0102;;Chlamydia Trachomatis PCR;;;;;;;;;;;;;;;;Janji :2 hari; 
B0103;;HBV DNA Kuantitatif;;;;;;Negative;;;;;;;;;;Janji :2 hari; 
B0104;;HCV RNA Genotyping;;;;;;;;;;;;;;;;Janji :2 hari; 
B0105;;HCV RNA Kuantitatif;;;;;;;;;;;;;;;;Janji :2 hari; 
B0106;;M. Tuberculose;;;;;;;;;;;;;;;;Janji :2 hari; 
B0107;;Salmonella Typhi;;;;;;;;;;;;;;;;Janji :2 hari; 
B0108;;Mycoplasma Pneumonia PCR;;;;;;;;;;;;;;;;Janji :2 hari; 
B0109;;Toxoplasma Gondii;;;;;;;;;;;;;;;;Janji :; 
C0101;;CITO 4;;;;;;;;;;;;;;;;; 
C0102;;Analisa Cairan Pleura/Acites;;;;;;;;;;;;;;;;; 
C010201;;Jenis Sampel;;;;;;;;;;;;;;;;; 
C010202;;Makroskopis;;;;;;;;;;;;;;;;; 
C01020201;;Warna;;;;;;Transudat: Kuning Muda<BR>Eksudat: Kuning - Hijau;;;;;;;;;;; 
C01020202;;Kekeruhan;;;;;;"Transudat; Jernih<BR>Eksudat: Keruh";;;;;;;;;;; 
C01020203;;Berat Jenis;;;;;;Transudat : < 1.018<BR>Exudat : > 1.018;;;;;;;;;;; 
C01020204;;Bekuan;;;;;;Transudat: (-) Bekuan<BR>Eksudat:(-) Bekuan;;;;;;;;;;; 
C01020205;;PH;;;;;;Transudat: >7,31<BR>Eksudat: < 7,31;;;;;;;;;;; 
C010203;;Kimia;;;;;;;;;;;;;;;;; 
C01020301;;Rivalta;;;;;;Transudat: (-)<BR>Eksudat: (+) Kekeruhan;;;;;;;;;;; 
C01020302;;Protein;;;;;gr/dl;Transudat : < 3 gr%<BR>Eksudat : > 3gr%;;;;;;;;;;; 
C01020303;;Glukosa;2345-7;"
  Glucose
  [Mass/volume] in Serum or Plasma";119364003;Serum specimen;mg/dl;Transudat : = plasma darah <BR> Eksudat : < plasma darah;;;;;;;;;;; 
C01020304;;Albumin cairan tubuh;;;;;gr/dl;;;;;;;;;;;; 
C010204;;Mikroskopis;;;;;;;;;;;;;;;;; 
C01020401;;Jumlah Sel;;;;;sel/mm3;Transudat : < 300<BR>Eksudat : > 1000;;;;;;;;;;; 
C01020402;;Hitung Jenis Sel;;;;;;;;;;;;;;;;; 
C01020403;;MN;;;;;%;;;;;;;;;;;; 
C01020404;;PMN;;;;;%;Transudat : = Sedikit<BR>Exudat : < Banyak;;;;;;;;;;; 
E0101;;Elektro Kardiografi/EKG;;;;;;;;;;;;;;;;Janji :2 hari; 
E0102;;Autospirometri;;;;;;;;;;;;;;;;Janji :; 
E0103;;Audiogram;;;;;;;;;;;;;;;;Janji :; 
E0104;;Electroencephalografi / EEG;;;;;;;;;;;;;;;;Janji :; 
E0105;;Treadmill;;;;;;;;;;;;;;;;Janji :; 
E0106;;Holter Mobitoring;;;;;;;;;;;;;;;;Janji :; 
E0107;;TCD;;;;;;;;;;;;;;;;Janji :; 
F0101;;Faeces;;;;; ; ;;;;;;;;;F;Janji :2 hari; 
F010101;;Makroskopis;;;;;;;;;;;;;;;;Janji :; 
F01010101;;Warna;;;;;;;;;;;;;;;;Janji :; 
F01010102;;Konsistensi;;;;;;;;;;;;;;;;Janji :; 
F01010103;;Lendir;;;;;;;;;;;;;;;;Janji :; 
F01010104;;Darah;;;;;;;;;;;;;;;;Janji :; 
F010102;;Mikroskopis;;;;;;;;;;;;;;;;Janji :; 
F01010201;;Sel Leukosit;;;;;;;;;;;;;;;;Janji :; 
F01010202;;Sel Eritrosit;;;;;;;;;;;;;;;;Janji :; 
F01010203;;Lain-Lain;;;;;;;;;;;;;;;;Janji :; 
F01010204;;Telur Cacing;;;;;;;;;;;;;;;;Janji :; 
F0102;;Benzidine Test;;;;;;Negatif;;;;;;;;;;; 
F0103;;;;;;;;;;;;;;;;;;; 
G0101;;tes;;;;;;;;;;;;;;;;; 
G010101;;tes 2;;;;;;;;;;;;;;;;; 
G0102;;CITO 4;;;;;;;;;;;;;;;;; 
G0103;;Vitamin D;;;;;ng/ml;Defisiensi : < 20Insufisiensi : 20 - 29Sufficient : 30 - 100Potential Toxicity :> 100;;;;;;;;;;; 
H0101;1;Hematologi Lengkap;;;;;;;;;;;;;;;H;Janji : 3  jam; 
H010101;2;Hemoglobin;;;;;"
  g/dl";;;;14.0;18.0;12.0;16.0;14.0 - 18.0;12.0 - 16.0;;Janji :;Non Cyanide hemoglobine analysis 
H010102;3;Leukosit;;;;;"
  10^3/pl";;;;5.0;10.0;5.0;10.0;5.0 - 10.0;5.0 - 10.0;;Janji :30 menit;Detection (DC) 
H010103;4;Trombosit;;;;;"
  10^3/pl";;;;150;450;150;450;150 - 450;150 - 450;;Janji :30 menit;Detection (DC) 
H010104;5;Hematokrit;;;;;"
  %";;;;40.0;54.0;37.0;47.0;40.0 - 54.0;37.0 - 47.0;;;Detection (DC) 
H010105;6;Eritrosit;;;;;"
  10^6/pl";;;;4.60;6.20;4.20;5.40;4.60 - 6.20;4.20 - 5.40;;Janji :;Detection (DC) 
H010106;7;Laju Endap Darah(LED);;;;;;;;;;;;;;;;Janji :1 jam; 
H01010601;8;LED 1 Jam;;;;;"
  mm";;;;0;10;0;10;0 - 10;0 - 10;;;Westergren 
H01010602;9;LED 2 Jam;;;;;"
  mm";;;;10;20;10;20;Oct-20;Oct-20;;;Westergren 
H010107;10;Hitung Jenis;;;;;;;;;;;;;;;;Janji :30 menit; 
H01010701;13;N. Batang;;;;;"
  %";;;;3;5;3;5;03-May;03-May;;Janji :; 
H01010702;14;N. Segmen;;;;;"
  %";;;;35;70;35;70;35 - 70;35 - 70;;Janji :; 
H01010703;15;Limfosit;;;;;"
  %";;;;20;40;20;40;20 - 40;20 - 40;;Janji :; 
H01010704;16;Monosit;;;;;"
  %";;;;2;10;2;10;02-Oct;02-Oct;;Janji :; 
H01010705;12;Eosinofil;;;;;"
  %";;;;1;4;1;4;01-Apr;01-Apr;;Janji :; 
H01010706;11;Basofil;;;;;"
  %";;;;0;1;0;1;0 - 1;0 - 1;;Janji :; 
H010108;17;Nilai-nilai MC;;;;;;;;;;;;;;;;; 
H01010801;17;MCV;;;;;fl;80 - 96;;;;;;;;;;; 
H01010802;17;MCH;;;;;pg;27 - 31;;;;;;;;;;; 
H01010803;17;MCHC;;;;;g/dl;32 - 36;;;;;;;;;;; 
H010109;18;RDW;;;;;fl;;;;;;;;;;;; 
H0102;;Hematologi Rutin;;;;;;;;;;;;;;;;Janji :30 menit;Hematology Anayzer 
H010201;;Hemoglobin;;;;;"
  g/dl";;;;14.0;18.0;12.0;16.0;14.0 - 18.0;12.0 - 16.0;;;Non Cyanide hemoglobine analysis 
H010202;;Leukosit;;;;;10^3/pl;;;;5.0;10.0;5.0;10.0;5.0 - 10.0;5.0 - 10.0;;;Detection (DC) 
H010203;;Trombosit;;;;;10^3/pl;;;;150;450;150;450;150 - 450;150 - 450;;;Detection (DC) 
H010204;;Hematokrit;;;;;"
  %";;;;40.0;54.0;37.0;47.0;40.0 - 54.0;37.0 - 47.0;;; 
H0106;;Golongan Darah ABO;"
  883-9";"
  ABO
  group [Type] in Blood";119297000;Blood specimen ;;;;;;;;;;;;Janji : 30 menit;Aglutinasi 
H0107;;Golongan Darah ABO + Rhesus;"
  882-1";"
  ABO and
  Rh group [Type] in Blood";119297000;Blood specimen ;;;;;;;;;;;;Janji : 30 menit;Aglutinasi 
H010701;;Golongan Darah;;;;;;;;;;;;;;;;Janji : 30 menit;Aglutinasi 
H010702;;Rhesus;;;;Blood specimen ;;;;;;;;;;;;Janji :;Aglutinasi 
H0108;;Faal Hemostasis;;;;;;;;;;;;;;;;Janji :2 jam; 
H0109;;Waktu Pendarahan (BT);;;;;Menit;;;;1;3;1;3;01-Mar;01-Mar;;Janji :1 jam; 
H0110;;Waktu Pembekuan (CT);;;;;Menit;;;;2;5;2;5;02-May;02-May;;Janji :1 jam; 
H0111;;Protrombine Time(PT);"
  5964-2";"
  Prothrombin
  time (PT) in Blood by Coagulation assay";119362004 ;Platelet poor plasma specimen;Detik;11.7 - 15.1;11.7;15.1;;;;;;;;Janji :1 hari; 
H0112;;APTT;"
  91119-8";"
  aPTT.factor
  substitution in Platelet poor plasma by Coagulation assay --immediately after
  1:1 addition of normal plasma";119362004 ; Platelet poor plasma specimen;Detik;22.5 - 40.1;22.5;40.1;;;;;;;;Janji :1 hari; 
H0113;;Fibrinogen;;;;;mg/dl;154 - 397;;;200;400;200;400;;;;Janji :2 hari; 
H0114;;D-Dimer;"
  48058-2";"
  Fibrin
  D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay";119362004 ;Platelet poor plasma specimen;ng/mL;< 500;0;500;;;;;;;;Janji :2 hari;ELISA 
H0115;;Trombine Time;;;;;;;;;;;;;;;;Janji :; 
H0116;;Rektraksi Bekuan;;;;;;;;;40;60;40;60;;;;Janji :2 hari; 
H0117;;Viskositas Darah;;;;;cp;3.5 - 5.1;;;3.5;5.1;3.5;5.1;;;;Janji :1 hari; 
H0118;;Viskositas Plasma;;;;;cp;1.4 - 1.8;;;1.4;1.8;1.4;1.8;;;;Janji :1 hari; 
H0119;;Retikulosit;;;;;%;0.5 - 1.5;;;0.5;1.5;0.5;1.5;;;;Janji :1 jam; 
H0120;;Serum Iron(Fe);;;;;ug/dL;37 - 145;37;145;;;;;;;;Janji :2 hari; 
H0121;;Ferritin;"
  20567-4";"
  Ferritin
  [Mass/volume] in Serum or Plasma by Immunoassay";119364003;Serum specimen;ng/mL;L : 22-322<BR>P : 10-291;;;22;322;10;291;22 - 322;10 - 291;;Janji :2 hari; 
H0122;;Transferin;;;;;mg/dL;200 - 360;;;200;360;200;360;;;;Janji :2 hari; 
H0123;;Asam Folat;;;;;ng/ml;3.1 - 17.5;;;3.1;17.5;3.1;17.5;;;;Janji :2 hari; 
H0124;;Coombs Test Direct;;;;;;Negative;;;;;;;;;;Janji :1 hari; 
H0125;;Coombs Test Indirect;;;;;;Negative;;;;;;;;;;Janji :1 hari; 
H0126;;G 6 PDH;;;;;U/10*12 ;146 - 376;;;146;376;146;376;;;;Janji :2 hari; 
H0127;;Hb Elektroforesis;;;;;;HbA = 96 - 99 HbA2 = <=3,5 HbF = < 2;;;;;;;;;;Janji :2 hari; 
H0128;;Test Agregasi Trombosit;;;;;;;;;;;;;;;;Janji :2 hari; 
H0129;;BJ Plasma;;;;;;1.025 - 1.033;;;1.025;1.033;1.025;1.033;;;;Janji :1 hari; 
H0130;;CD 4;;;;;;;;;;;;;;;;Janji :3 hari; 
H0131;;CD 8;;;;;;;;;;;;;;;;Janji :3 hari; 
H0132;;Malaria;;;;;;Negative;;;;;;;;;;Janji :1 hari; 
H013201;;Plasmodium Vivax;;;;;;;;;;;;;;;;; 
H013202;;Plasmodium Falciparum;;;;;;;;;;;;;;;;; 
H0133;;Hb F;;;;;%;< 2;;;;< 2;;< 2;;;;Janji :2 hari; 
H0134;;Mikro Filaria;;;;;;Negative;;;;;;;;;;Janji :1 hari; 
H0135;;Resistensi Osmotik;;;;;%;Start Hemolyse : 0.40-0.44 Complete Hemolyse : 0.30-0.34;;;;;;;;;;Janji :2 hari; 
H0136;;Rumpell Leede(RL);;;;;;Negative;;;;;;;;;;Janji :1 jam; 
H0137;;Hemoglobin;"
  718-7";"
  Hemoglobin
  [Mass/volume] in Blood"; 119297000; Blood specimen;g/dl;;;;14.0;18.0;12.0;16.0;14.0 - 18.0;12.0 - 16.0;;Janji :1 jam;Non Cyanide hemoglobine analysis 
H0138;;Leukosit;"
  6690-2";"
  Leukocytes
  [#/volume] in Blood by Automated count"; 119297000; Blood specimen ;10^3/pl;;;;5.0;10.0;5.0;10.0;5.0 - 10.0;5.0 - 10.0;;Janji :1 jam; 
H0139;;Eritrosit;"
  26453-1";"
  Erythrocytes
  [#/volume] in Blood";119297000;Blood specimen;10^6/pl;;;;4.60;6.20;4.20;5.40;4.60 - 6.20;4.50 - 5.40;;Janji :1 jam; 
H0140;;Trombosit;"
  777-3";"
  Platelets
  [#/volume] in Blood by Automated count";119297000 ;Blood specimen ;10^3/pl;;;;150;450;150;450;150 - 450;150 - 450;;Janji :1 jam; 
H0141;;Hematokrit;"
  20570-8";"
  Hematocrit
  [Volume Fraction] of Blood";119297000;Blood specimen;%;;;;40.0;54.0;37.0;47.0;40.0 - 54.0;37.0 - 47.0;;;Detection (DC) 
H0142;;MCV;"
  787-2";"
  MCV
  [Entitic volume] by Automated count";119297000;Blood specimen;fl;80 - 96;;;80;96;80;96;;;;Janji :; 
H0143;;MCH;"
  785-6";"
  MCH
  [Entitic mass] by Automated count";19297000;Blood specimen ;fl;27.5 - 33.2;;;27.5;33.2;27.5;33.2;;;;Janji :; 
H0144;;MCHC;"
  786-4";"
  MCHC
  [Mass/volume] by Automated count";19297000;Blood specimen ;fl;33.4 - 35.5;;;33.4;35.5;33.4;35.5;;;;Janji :; 
H0145;;Hitung Jenis;;;;;;;;;;;;;;;;Janji :; 
H014501;;Batang;;;;;%;;;;3;5;3;5;03-May;03-May;;Janji :; 
H014502;;Segmen;;;;;%;;;;35;70;35;70;35 - 70;35 - 70;;Janji :; 
H014503;;Limfosit;;;;;%;;;;20;40;20;40;20 - 40;20 - 40;;Janji :; 
H014504;;Monosit;;;;;%;;;;2;10;2;10;02-Oct;02-Oct;;Janji :; 
H014505;;Eosinofil;;;;;%;;;;1;4;1;4;01-Apr;01-Apr;;Janji :; 
H014506;;Basofil;;;;;%;;;;0;1;0;1;0 - 1;0 - 1;;Janji :; 
H0146;;Morfolgi Darah Tepi;;;;;;;;;;;;;;;;; 
H014601;;Seri Eritrosit;;;;;;;;;;;;;;;;; 
H014602;;Seri Leukosit;;;;;;;;;;;;;;;;; 
H014603;;Seri Trombosit;;;;;;;;;;;;;;;;; 
H014604;;Kesan;;;;;;;;;;;;;;;;; 
H014605;;Saran;;;;;;;;;;;;;;;;; 
H0147;;TIBC;"
  2500-7";"
  Iron
  binding capacity [Mass/volume] in Serum or Plasma";119364003 ;Serum specimen;ug/dL;228 - 428;;;228;428;228;428;228 - 428;228 - 428;;; 
H0148;;analisa HB ( HPLC );;;;;;;;;;;;;;;;; 
H0149;;hapusan sumsum tulang;;;;;;;;;;;;;;;;; 
H0150;;LE test;;;;;;;;;;;;;;;;; 
H0151;;eosinofil;"
  713-8";"
  Eosinophils/100
  leukocytes in Blood by Automated count";119297000;Blood specimen;sel / mm³;50 - 350;;;;;;;;;;; 
H015201;;;;;;;;;;;;;;;;;;; 
H015202;;Vaksin Hepatitis;;;;;;;;;;;;;;;;; 
H0153;;Vaksin Hepatitis;;;;;;;;;;;;;;;;; 
H0154;;Gol darah rhesus;;;;;;;;;;;;;;;;;Aglutinasi 
H0155;;PROFILE IRON;;;;;;;;;;;;;;;;; 
H0156;;Vaksin MMR;;;;;;;;;;;;;;;;; 
H0157;;Hapusan Darah;;;;;;;;;;;;;;;;; 
H0158;;LED ( Laju Endap Darah );"
  4537-7";"
  Erythrocyte
  sedimentation rate by Westergren method";119297000;Blood specimen;;;;;;;;;< 10;< 20;;;Westergren 
H015801;;LED 1 Jam;;;;;mm;0 - 10;0;10;0;10;0;10;0 - 10;0 - 10;;;Westergren 
H015802;;LED 2 Jam;;;;;mm;Oct-20;10;20;10;20;10;20;Oct-20;Oct-20;;;Westergren 
H0159;;malaria preparat;;;;;;;;;;;;;;;;; 
H0160;;Hematologi Rutin + LED;;;;;;;;;;;;;;;;; 
H016001;;Hemoglobin;;;;;g/dl;;;;14.0;18.0;12.0;16.0;14.0 - 18.0;12.0 - 16.0;;; 
H016002;;Leukosit;;;;;10^3/pl;;;;5.0;10.0;5.0;10.0;5.0 - 10.0;5.0 - 10.0;;; 
H016003;;Trombosit;;;;;10^3/pl;;;;150;450;150;450;150 - 450;150 - 450;;; 
H016004;;Hematokrit;;;;;%;;;;40.0;54.0;37.0;47.0;40.0 - 54.0;37.0 - 47.0;;; 
H016005;;Eritrosit;;;;;10^6/pl;;;;4.60;6.20;4.20;5.40;4.60 - 6.20;4.20 - 5.40;;; 
H016006;;Laju Endap Darah (LED);;;;;;;;;;;;;;;;; 
H01600601;;LED 1 jam;;;;;mm;;;;0;10;0;10;0 - 10;0 - 10;;; 
H01600602;;LED 2 jam;;;;;mm;;;;10;20;10;20;Oct-20;Oct-20;;; 
H0161;;Golongan Darah ABO + Rhesus;"
  882-1";"
  ABO and
  Rh group [Type] in Blood";119297000;Blood specimen ;;;;;;;;;;;;Janji : 30 menit; Aglutinasi 
H016101;;Golongan Darah;;;;;;;;;;;;;;;;Janji : 30 menit;Aglutinasi 
H016102;;Rhesus;;;;Blood specimen ;;;;;;;;;;;;;Aglutinasi 
H0162;;Vaksin Difteri;;;;;;;;;;;;;;;;; 
H0163;;RA;;;;;;Negatif;;;;;;;;;;;agglutination 
H0164;;;;;;;;;;;;;;;;;;; 
H0165;;D-Dimer;"
  48058-2";"
  Fibrin
  D-dimer DDU [Mass/volume] in Platelet poor plasma by Immunoassay";119362004 ;Platelet poor plasma specimen;ng/mL;< 500;0;500;;;;;;;;;ELISA 
H0166;;Fibrinogen;;;;;;;;;;;;;;;;; 
H0167;;Vaksin Influenza;;;;;;;;;;;;;;;;; 
H0169;;Hitung Jenis;;;;;;;;;;;;;;;;; 
H016901;;N.Batang;;;;;;;;;;;;;;;;; 
H016902;;N. Segmen;;;;;;;;;;;;;;;;; 
H016903;;Limfosit;;;;;;;;;;;;;;;;; 
H016904;;Monosit;;;;;;;;;;;;;;;;; 
H016905;;Eosinofil;;;;;;;;;;;;;;;;; 
H016906;;Basofil;;;;;;;;;;;;;;;;; 
H0170;;GDT;;;;;;;;;;;;;;;;; 
H0171;;INR;"
  38875-1";"
  INR in
  Platelet poor plasma or blood by Coagulation assay";119362004;Platelet poor plasma specimen;;0.83 - 1.11;0.83;1.11;;;;;;;;; 
H0172;;INR (Paket PT, APTT);;;;;;1.00 - 1.99;;;;;;;;;;; 
H0173;;Centrifugasi Whole Blood;;;;;;;;;;;;;;;;; 
H0174;;NLR;;;;;;01-Mar;;;;;;;;;;; 
H0175;;Hematologi Lengkap tanpa LED;;;;;;;;;;;;;;;;; 
H017501;;Hemoglobin;;;;;g/dl;;;;14.0;18.0;12.0;16.0;14.0-18.0;12.0 - 16.0;H;Janji : 3  jam;Non Cyanide hemoglobine analysis 
H017502;;Leukosit;;;;;10^3/pl;;;;5.0;10.0;5.0;10.0;5.0 - 10.0;5.0 - 10.0;;; 
H017503;;Trombosit;;;;;10^3/pl;;;;150;450;150;450;150 - 450;150 - 450;;; 
H017504;;Hematokrit;;;;;%;;;;40.0;54.0;37.0;47.0;40.0 - 54.0;37.0 - 47.0;;; 
H017505;;Eritrosit;;;;;10^6/pl;;;;4.60;6.20;4.20;5.40;4.60 - 6.20;4.20 - 5.40;;; 
H017506;;HItung Jenis;;;;;;;;;;;;;;;;; 
H01750601;;N. Batang;;;;;%;;;;3;5;3;5;03-May;03-May;;; 
H01750602;;N. Segmen;;;;;%;;;;35;70;35;70;35 - 70;35 - 70;;; 
H01750603;;Limfosit;;;;;%;;;;20;40;20;40;20 - 40;20 - 40;;; 
H01750604;;Monosit;;;;;%;;;;2;10;2;10;02-Oct;02-Oct;;; 
H01750605;;Eosinofil;;;;;%;;;;1;4;1;4;01-Apr;01-Apr;;; 
H01750606;;Basofil;;;;;%;;;;0;1;0;1;0  - 1;0  - 1;;; 
H0176;;;;;;;;;;;;;;;;;;; 
H0177;;RDW-CV;;;;;;;;;;;;;;;H;; 
H0178;;Lupus Antikoagulan - 1 (LA-1) ;;;;;Detik;31 - 44;;;;;;;;;H;; 
H0179;;Lupus Antikoagulan - 2 (LA-2);;;;;Detik;30 - 38;;;;;;;;;H;; 
H0180;;Ratio LA;;;;;;0.8 - 1.2;;;;;;;;;H;; 
H0181;;Hb Elektroforesis;;;;;;;;;;;;;;;;; 
H02;;contoh 21-2;;;;;;;;;;;;;;;;Janji :; 
H116;;;;;;;;;;;;;;;;;;Janji :; 
H16;;;;;;;;;;;;;;;;;;Janji :; 
I0201;;HbsAg;"
  5195-3";"
  Hepatitis
  B virus surface Ag [Presence] in Serum";119364003;Serum specimen;;Negatif;;;;;;;;;;Janji : 1 jam;immunochromatographic 
I0202;;Anti Hbs;"
  16935-9";"
  Hepatitis
  B virus surface Ab [Units/volume] in Serum";119364003;Serum specimen;;Negatif;;;;;;;;;;;immunochromatographic 
I0203;;Anti HCV;"
  13955-0";"
  Hepatitis
  C virus Ab [Presence] in Serum or Plasma by Immunoassay";;;;Negatif;;;;;;;;;;;immunochromatographic 
I0204;;Anti HBc;"
  75378-0";"
  Hepatitis
  B virus core Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay";119364003;Serum specimen;;Negatif;;;;;;;;;;; 
I0205;;Anti HAV;;;;;;Negatif;;;;;;;;;;;immunochromatographic 
I020501;;Anti HAV IgG;"
  32018-4";"
  Hepatitis
  A virus IgG Ab [Presence] in Serum";119364003;Serum specimen;;Negatif;;;;;;;;;;;immunochromatographic 
I020502;;Anti HAV IgM;"
  22314-9";"
  Hepatitis
  A virus IgM Ab [Presence] in Serum";119364003;Serum specimen;;Negatif;;;;;;;;;;;immunochromatographic 
I0206;;T3;;;;;nmol/l;1.23 - 3.07;1.23;3.07;;;;;;;;;FIA 
I0207;;T4;;;;;nmol/l;66 - 181;66;181;;;;;;;;;FIA 
I0208;;Alpha - Fetoprotein;;;;;ng/mL;< 7.02;;;;;;;;;;; 
I0209;;CEA;;;;;ng/ml;< 4.7;;;;;;;;;;Janji :2 hari; 
